pred.attack.at.topt,pred.handle.at.topt,pred.mort.at.topt,pred.eff.at.topt,prey.cap.at.topt,prey.growth.at.topt,PredConsumptionAtTemp,PredAttackAtTemp,PredHandleAtTemp,PredMortAtTemp,PredEffAtTemp,PreyGrowthAtTemp,PreyCapAtTemp,TempAtTime,pred.harvest.f,prey.harvest.f,pred.pop.init,prey.pop.init,time.start,time.end,time.step,mean.temp,tamp,topt.shift.pred,topt.shift.prey,pred.ed,prey.ed
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.1,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(287.15,288.15,1.142048,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(291.15,292.15,1.227145,20)",MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,-2,2,20,20
0.5,0.5,0.05,0.5,20,0.6,TypeIIResponse,"MakeTPCAG(287.15,288.15,1.142048,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(291.15,292.15,1.227145,20)",MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,-2,2,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,NA,NA
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,NA,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,NA
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),Warming,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),WarmingAndSaw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),WarmingAndGrowingSaw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(287.15,288.15,1.142048,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(291.15,292.15,1.227145,20)",MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,-2,2,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(287.15,288.15,1.142048,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(291.15,292.15,1.227145,20)",MakeTPCConst(1),Warming,0,0,NA,NA,0,1000,0.1,289.15,2,-2,2,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(287.15,288.15,1.142048,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(291.15,292.15,1.227145,20)",MakeTPCConst(1),WarmingAndSaw,0,0,NA,NA,0,1000,0.1,289.15,2,-2,2,20,20
0.3,0.3,0.2,0.3,20,0.6,TypeIIResponse,"MakeTPCAG(287.15,288.15,1.142048,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(291.15,292.15,1.227145,20)",MakeTPCConst(1),WarmingAndGrowingSaw,0,0,NA,NA,0,1000,0.1,289.15,2,-2,2,20,20
0.3,0.3,0.2,0.1,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),Saw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.1,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),Warming,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.1,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),WarmingAndSaw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
0.3,0.3,0.2,0.1,20,0.6,TypeIIResponse,"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),MakeTPCConst(1),MakeTPCConst(1),"MakeTPCAG(289.15,290.15,1.184321,20)",MakeTPCConst(1),WarmingAndGrowingSaw,0,0,NA,NA,0,1000,0.1,289.15,2,0,0,20,20
